Cytokine,Mean_Group_S,Mean_Group_U,SD_Group_S,SD_Group_U,P_Value,T_Statistic,Cohens_D,Significant
IL-15,7481.77,110.417,14390.723,51.992,1.188e-02,2.678,1.145,Yes
IL-9,709.749,5.788,1359.56,2.656,1.502e-02,2.591,1.119,Yes
MIP-2,106.475,541.647,205.544,802.187,1.692e-01,-1.408,-0.599,No
MCP-1,95.024,341.704,193.645,191.318,5.016e-03,-3.021,-1.286,Yes
IL-33,573.786,2821.123,1109.328,2841.114,5.083e-02,-2.032,-0.865,No
IP-10,215.324,155.474,423.842,141.109,5.376e-01,0.623,0.265,No
MIP-1α,141.092,408.847,272.73,335.295,6.153e-02,-1.94,-0.826,No
IL-27p28/IL-30,1681.406,7.479,3242.869,3.227,9.726e-03,2.755,1.173,Yes
IL-17A/F,453.293,2.365,875.424,1.881,9.865e-03,2.75,1.171,Yes
